president,start,end,party
George Washington,"April 30, 1789","March 4, 1797",Nonpartisan   [13]
John Adams,"March 4, 1797","March 4, 1801",Federalist
Thomas Jefferson,"March 4, 1801","March 4, 1809",Democratic-  Republican
James Madison,"March 4, 1809","March 4, 1817",Democratic-  Republican
James Monroe,"March 4, 1817","March 4, 1825",Democratic-  Republican
John Quincy Adams,"March 4, 1825","March 4, 1829",Democratic-  Republican
Andrew Jackson,"March 4, 1829","March 4, 1837",Democratic
Martin Van Buren,"March 4, 1837","March 4, 1841",Democratic
William Henry Harrison,"March 4, 1841","April 4, 1841",Whig
John Tyler,"April 4, 1841","March 4, 1845","Whig   April 4, 1841  â€“  September 13, 1841"
James K. Polk,"March 4, 1845","March 4, 1849",Democratic
Zachary Taylor,"March 4, 1849","July 9, 1850",Whig
Millard Fillmore,"July 9, 1850","March 4, 1853",Whig
Franklin Pierce,"March 4, 1853","March 4, 1857",Democratic
James Buchanan,"March 4, 1857","March 4, 1861",Democratic
Abraham Lincoln,"March 4, 1861","April 15, 1865",Republican   ( National Union )   [i]
Andrew Johnson,"April 15, 1865","March 4, 1869",National Union   [i]   ( Democratic )   [j]
Ulysses S. Grant,"March 4, 1869","March 4, 1877",Republican
Rutherford B. Hayes,"March 4, 1877","March 4, 1881",Republican
James A. Garfield,"March 4, 1881","September 19, 1881",Republican
Chester A. Arthur,"September 19, 1881","March 4, 1885",Republican
Grover Cleveland,"March 4, 1885","March 4, 1889",Democratic
Benjamin Harrison,"March 4, 1889","March 4, 1893",Republican
Grover Cleveland,"March 4, 1893","March 4, 1897",Democratic
William McKinley,"March 4, 1897","September 14, 1901",Republican
Theodore Roosevelt,"September 14, 1901","March 4, 1909",Republican
William Howard Taft,"March 4, 1909","March 4, 1913",Republican
Woodrow Wilson,"March 4, 1913","March 4, 1921",Democratic
Warren G. Harding,"March 4, 1921","August 2, 1923",Republican
Calvin Coolidge,"August 2, 1923","March 4, 1929",Republican
Herbert Hoover,"March 4, 1929","March 4, 1933",Republican
Franklin D. Roosevelt,"March 4, 1933","April 12, 1945",Democratic
Harry S. Truman,"April 12, 1945","January 20, 1953",Democratic
Dwight D. Eisenhower,"January 20, 1953","January 20, 1961",Republican
John F. Kennedy,"January 20, 1961","November 22, 1963",Democratic
Lyndon B. Johnson,"November 22, 1963","January 20, 1969",Democratic
Richard Nixon,"January 20, 1969","August 9, 1974",Republican
Gerald Ford,"August 9, 1974","January 20, 1977",Republican
Jimmy Carter,"January 20, 1977","January 20, 1981",Democratic
Ronald Reagan,"January 20, 1981","January 20, 1989",Republican
George H. W. Bush,"January 20, 1989","January 20, 1993",Republican
Bill Clinton,"January 20, 1993","January 20, 2001",Democratic
George W. Bush,"January 20, 2001","January 20, 2009",Republican
Barack Obama,"January 20, 2009","January 20, 2017",Democratic
Donald Trump,"January 20, 2017","January 20, 2021",Republican
Joe Biden,"January 20, 2021","January 20, 2025",Democratic
